,Unnamed: 0,user_id,song_id,listen_count,title,release,artist_name,year
0,0,1,1,1,The Cove,Thicker Than Water,Jack Johnson,0
1,1,1,2,2,Entre Dos Aguas,Flamenco Para Niños,Paco De Lucia,1976
2,2,1,3,1,Stronger,Graduation,Kanye West,2007
3,3,1,4,1,Constellations,In Between Dreams,Jack Johnson,2005
4,4,1,5,1,Learn To Fly,There Is Nothing Left To Lose,Foo Fighters,1999
5,5,1,6,5,Apuesta Por El Rock 'N' Roll,Antología Audiovisual,Héroes del Silencio,2007
6,6,1,7,1,Paper Gangsta,The Fame Monster,Lady GaGa,2008
7,7,1,8,1,Stacked Actors,There Is Nothing Left To Lose,Foo Fighters,1999
8,8,1,9,1,Sehr kosmisch,Musik von Harmonia,Harmonia,0
9,9,1,10,1,Heaven's gonna burn your eyes,Hôtel Costes 7 by Stéphane Pompougnac,Thievery Corporation feat. Emiliana Torrini,2002
10,10,1,11,1,Let It Be Sung,If I Had Eyes,Jack Johnson / Matt Costa / Zach Gill / Dan Lebowitz / Steve Adams,2007
11,11,1,12,5,I'll Be Missing You (Featuring Faith Evans & 112)(Album Version),No Way Out,Puff Daddy,0
12,12,1,13,1,Love Shack,Original Hits - Rock,The B-52's,1989
13,13,1,14,1,Clarity,As/Is: Cleveland/Cincinnati_ OH - 8/03-8/04/04,John Mayer,0
14,14,1,15,5,I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson,0
15,15,1,16,1,The Old Saloon,Incredibad,The Lonely Island,2009
16,16,1,17,6,Behind The Sea [Live In Chicago],Live In Chicago,Panic At The Disco,0
17,17,1,18,1,Champion,Graduation,Kanye West,2007
18,18,1,19,1,Breakout,There Is Nothing Left To Lose,Foo Fighters,1999
19,19,1,20,1,Ragged Wood,Fleet Foxes,Fleet Foxes,2008
20,20,1,21,1,Mykonos,Sun Giant,Fleet Foxes,2008
21,21,1,22,1,Country Road,En Concert,Jack Johnson / Paula Fuga,2009
22,22,1,23,1,Oh No,Noble Beast,Andrew Bird,2009
23,23,1,24,1,Love Song For No One,Room For Squares,John Mayer,0
24,24,1,25,1,Jewels And Gold,A Book Like This,Angus & Julia Stone,2007
25,25,1,26,1,Warning,Live in Malaysia 2004,Incubus,2001
26,26,1,27,1,83,Serendipity - Music From The Miramax Motion Picture,John Mayer,0
27,27,1,28,1,Neon,Where The Light Is: John Mayer Live In Los Angeles,John Mayer,0
28,28,1,29,1,The Middle,Bleed American,Jimmy Eat World,2001
29,29,1,30,2,High and dry,12 segundos de oscuridad,Jorge Drexler,2006
30,30,1,31,1,All That We Perceive,The Richest Man In Babylon,Thievery Corporation,2002
31,31,1,32,1,The Christmas Song  (LP Version),Songs You Know - Christmas Soul Classics,King Curtis,0
32,32,1,33,1,Our Swords (Soundtrack Version),Nick & Norah's Infinite Playlist - Music From The Original Motion Picture Soundtrack,Band Of Horses,0
33,33,1,34,1,Are You In?,Monuments And Melodies,Incubus,2001
34,34,1,35,1,Drive,Make Yourself,Incubus,1999
35,35,1,36,1,Generator,There Is Nothing Left To Lose,Foo Fighters,1999
36,36,1,37,1,Come Back To Bed,As/Is:  Philadelphia_ PA/Hartford_ CT - 8/14-8/15/04,John Mayer,0
37,37,1,38,1,He Doesn't Know Why,Fleet Foxes,Fleet Foxes,2008
38,38,1,39,1,Trani,Youth And Young Manhood,Kings Of Leon,2003
39,39,1,40,1,Bigger Isn't Better,Born on the Wrong Planet,The String Cheese Incident,1997
40,40,1,41,1,Sun Giant,Sun Giant,Fleet Foxes,2008
41,41,1,42,1,City Love,Any Given Thursday,John Mayer,0
42,42,1,43,1,Right Back,40oz To Freedom,Sublime,0
43,43,1,44,8,Moonshine,Thicker Than Water,Jack Johnson,2003
44,44,1,45,1,Holes To Heaven,Thicker Than Water,Jack Johnson,2003
45,45,2,46,2,The Best of Times,The Best Of Times,Sage Francis,2010
46,46,3,47,1,Sun Hands,Gorilla Manor,Local Natives,2009
47,47,3,48,1,Camera Talk,Camera Talk,Local Natives,2009
48,48,3,49,1,Belle,In Between Dreams,Jack Johnson,2005
49,49,3,50,1,Auto Rock,Mr. Beast,Mogwai,2006
50,50,3,51,2,Who Knows Who Cares,Gorilla Manor,Local Natives,2009
51,51,3,52,1,Girlfriend,Wolfgang Amadeus Phoenix,Phoenix,0
52,52,3,53,1,Armistice,Wolfgang Amadeus Phoenix,Phoenix,0
53,53,3,54,1,Swimming In The Flood,Manners,Passion Pit,2009
54,54,4,55,5,Streets On Lock,Def Jam 25_ Vol. 24 - Beef,Young Jeezy,2006
55,55,4,56,5,The Way Things Go,Identification Parade,Octopus Project,2002
56,56,5,57,2,A Pain That Im Used To,Playing The Angel,Depeche Mode,2005
57,57,5,58,1,Medicating,Trainwreck,Boys Night Out,2005
58,58,5,59,9,Crystal Blue Persuasion,Anthology,Tommy James And The Shondells,1968
59,59,5,60,2,Don't Dream It's Over,Recurring Dream_ Best Of Crowded House (Domestic Only),Crowded House,1986
60,60,5,61,2,Jamaica Roots II(Agora E Sempre),Nova Bis-Natiruts,Natiruts,0
61,61,5,62,1,Besame Mucho,The Best of Andrea Bocelli - 'Vivere',Andrea Bocelli,2006
62,62,5,63,1,Groovin'  (LP Version),Stax/Volt - The Complete Singles 1959-1968 - Volume 8,Booker T. & The MG's,0
63,63,5,64,6,It's My Party,1960's School Party Night,Lesley Gore,1963
64,64,5,65,2,Eminence Front,The Who - Ultimate Collection,The Who,1982
65,65,5,66,1,Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,1991
66,66,5,67,10,You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,1998
67,67,5,68,1,Groovin'  (Single Version),Groovin',The Young Rascals,1967
68,68,5,69,1,We Don't Stop (Explicit),My Balls And My Word (Explicit),Young Bleed,0
69,69,5,70,9,The Waiting,Damn The Torpedoes / Southern Accents / Hard Promises,Tom Petty And The Heartbreakers,1981
70,70,5,71,1,Found Home,End Of The Millenium,59 Times the Pain,1999
71,71,5,72,1,Reasons,Perfect Angel/Adventures In Paradise,Minnie Riperton,1974
72,72,5,73,1,Heartbreak Warfare,Battle Studies,John Mayer,0
73,73,5,74,10,Who's Real,The Last Kiss,Jadakiss / Swizz Beatz / OJ Da Juiceman,2009
74,74,5,75,2,All My Friends,All My Friends,LCD Soundsystem,2007
75,75,6,76,6,Somebody To Love,My Worlds,Justin Bieber,2010
76,76,6,77,13,Ghosts 'n' Stuff (Original Instrumental Mix),Ghosts 'n' Stuff,Deadmau5,2009
77,77,6,78,6,My Dad's Gone Crazy,The Eminem Show,Eminem / Hailie Jade,2006
78,78,6,79,4,Missing You,Love To Love,John Waite,1984
79,79,6,80,2,Ya Nada Queda,Ultimate Hits Latino,Kudai,2004
80,80,6,81,4,The Real Slim Shady,Curtain Call,Eminem,2000
81,81,6,82,1,Forgive Me,R&B Love Songs 2010,Leona Lewis,2008
82,82,6,83,3,Say My Name,The Writing's On The Wall,Destiny's Child,1998
83,83,6,84,5,Just Lose It,Curtain Call,Eminem,2004
84,84,6,85,1,16 Candles,16 Candles,The Crests,1988
85,85,6,86,8,Without Me,Without Me,Eminem,2002
86,86,6,87,18,Push It,Ultimate Girl Groups,Salt-N-Pepa,1988
87,87,6,88,12,Speechless,The Fame Monster,Lady GaGa,2009
88,88,7,89,2,Undo,Vespertine Live,Björk,2001
89,89,7,90,2,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0
90,90,7,91,1,High Life,Discovery,Daft Punk,2001
91,91,7,92,2,You're The One,If There Was A Way,Dwight Yoakam,1990
92,92,7,93,2,Where Did You Sleep Last Night,MTV Unplugged In New York,Nirvana,0
93,93,7,94,2,Come As You Are,Nirvana,Nirvana,0
94,94,7,95,1,Hey_ Soul Sister,Save Me_ San Francisco,Train,0
95,95,7,96,3,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),Mozart - Eine kleine Nachtmusik,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,0
96,96,7,97,4,Rhyme & Reason,Listener Supported,DAVE MATTHEWS BAND,1994
97,97,7,9,3,Sehr kosmisch,Musik von Harmonia,Harmonia,0
98,98,7,98,1,Someone Else's Arms,Everglow_ The,Mae,2005
99,99,7,99,2,Cry For Help (Album Version),The Sound of Madness [Deluxe],Shinedown,0
100,100,7,100,1,Lady In Black,One More Magic Potion,Ensiferum,2007
101,101,7,101,2,For You (Amended/Radio Edit LP),The Singles,Staind,0
102,102,7,102,2,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009
103,103,7,103,2,Secrets,Waking Up,OneRepublic,2009
104,104,7,104,9,Esta Es Para Hacerte Féliz,Esta Es Para Hacerte Feliz,Jorge Gonzalez,0
105,105,7,105,2,Revelry,Only By The Night,Kings Of Leon,2008
106,106,7,106,1,Marry Me,Save Me_ San Francisco,Train,2009
107,107,7,107,1,OMG,OMG - The Remixes,Usher featuring will.i.am,2010
108,108,7,108,2,Drop The World,Drop The World,Lil Wayne / Eminem,0
109,109,7,109,1,Ain't Misbehavin,Summertime,Sam Cooke,0
110,110,7,110,3,Blow Me Away,Halo 2 (Original Soundtrack And New Music) Volume 1,Breaking Benjamin,2004
111,111,7,111,3,Use Somebody,Use Somebody,Kings Of Leon,2008
112,112,7,112,11,Corn Bread,Europe 2009,DAVE MATTHEWS BAND,2009
113,113,8,113,2,Swallowed In The Sea,X & Y,Coldplay,2005
114,114,8,114,2,Life In Technicolor,Viva La Vida Or Death And All His Friends,Coldplay,2008
115,115,8,115,2,Clocks,A Rush Of Blood To The Head,Coldplay,2002
116,116,8,116,2,Strawberry Swing,Viva La Vida - Prospekt's March Edition,Coldplay,2008
117,117,8,117,4,Life In Technicolor ii,Viva La Vida - Prospekt's March Edition,Coldplay,2008
118,118,8,118,2,The Scientist,The Scientist,Coldplay,2002
119,119,8,119,2,In My Place,A Rush Of Blood To The Head,Coldplay,2001
120,120,8,120,2,Lost!,Viva La Vida Or Death And All His Friends,Coldplay,2008
121,121,8,121,3,Yellow,Yellow,Coldplay,2000
122,122,8,122,2,Speed Of Sound,Speed Of Sound,Coldplay,2005
123,123,8,123,1,Trouble,Trouble (B-Side),Coldplay,2000
124,124,9,124,6,Tell Me Why,The Best Of Data Records ,Supermode,2006
125,125,9,125,2,Easy Love,The Looks,MSTRKRFT,2006
126,126,9,126,3,Bulletproof,Bulletproof,La Roux,2009
127,127,9,127,2,If I Can't Have You,UltraSex,Mount Sims,2002
128,128,9,128,16,Raining Again (Steve Angello's Vocal Mix),Hotel: The Remixes,Moby,2005
129,129,9,129,2,Angel On My Shoulder (EDX Radio Edit),Angel On My Shoulder,Kaskade,2008
130,130,10,130,3,Harder Better Faster Stronger,Discovery,Daft Punk,2007
131,131,10,131,1,Jumping Jack Flash,Shine A Light,The Rolling Stones,1982
132,132,10,132,3,Aerodynamic,Discovery,Daft Punk,2001
133,133,10,133,1,You Know What You Are?,With Teeth,Nine Inch Nails,2005
134,134,10,134,2,Indo Silver Club,Homework,Daft Punk,1996
135,135,10,135,2,Steam Machine,Human After All,Daft Punk,2005
136,136,10,91,3,High Life,Discovery,Daft Punk,2001
137,137,10,136,1,D.A.N.C.E. [Radio Edit],D.A.N.C.E.,Justice,0
138,138,10,137,1,Emotion,Human After All,Daft Punk,2005
139,139,10,138,1,Meanwhile_ Rick James...,Comfort Eagle,Cake,2001
140,140,10,139,2,Face To Face,Discovery,Daft Punk,2001
141,141,10,140,3,Digital Love,Ministry of Sound Presents Chilled II 1991-2009,Daft Punk,2001
142,142,10,141,2,Fresh,Homework,Daft Punk,1996
143,143,10,142,1,Sad Songs And Waltzes,Fashion Nugget,Cake,1996
144,144,10,143,1,Especially In Michigan (Album Version),Stadium Arcadium,Red Hot Chili Peppers,0
145,145,10,144,3,Rock'n Roll,Homework,Daft Punk,1996
146,146,10,145,3,Nightvision,Discovery,Daft Punk,2001
147,147,10,146,1,The Brainwasher,Human After All,Daft Punk,2005
